cde_Pays;pays;cde_depense;depense_cat;depense_cat_courte;depense;depense_courte;annee;montant
HRV;Croatie;GF0103;01 - Services generaux des administrations publiques;Services generaux des administrations publiques;01.3 - Services generaux;Services generaux;2004;0,13924
HRV;Croatie;GF0604;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.4 - eclairage public;Eclairage public;2004;0,02837
HRV;Croatie;GF0306;03 - Ordre et securite publics;Ordre et securite publics;03.6 - Ordre et securite publics n.c.a.;Ordre et securite publics n.c.a.;2004;0,02674
HRV;Croatie;GF0903;09 - Enseignement;Enseignement;09.3 - Enseignement postsecondaire non superieur;Enseignement postsecondaire non superieur;2004;0,00033
HRV;Croatie;GF09;09 - Enseignement;Enseignement;09 - Enseignement;Enseignement;2004;1,92794
HRV;Croatie;GF1006;10 - Protection sociale;Protection sociale;10.6 - Logement;Logement;2004;0,03452
HRV;Croatie;GF0605;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.5 - R-D dans le domaine du logement et des equipements collectifs;RetD dans le domaine du logement et des equipements collectifs;2004;0,01288
HRV;Croatie;GF0806;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.6 - Loisirs, culture et culte n.c.a.;Loisirs, culture et culte n.c.a.;2004;0,04237
HRV;Croatie;GF0501;05 - Protection de l environnement;Protection de l environnement;05.1 - Gestion des dechets;Gestion des dechets;2004;0,09316
HRV;Croatie;GF0602;06 - Logements et equipements collectifs;Logements et equipements collectifs;06.2 - equipements collectifs;Equipements collectifs;2004;0,18564
HRV;Croatie;GF0801;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.1 - Services recreatifs et sportifs;Services recreatifs et sportifs;2004;0,14531
HRV;Croatie;GF0704;07 - Sante;Sante;07.4 - Services de sante publique;Services de sante publique;2004;0,08685
HRV;Croatie;GF08;08 - Loisirs, culture et culte;Loisirs, culture et culte;08 - Loisirs, culture et culte;Loisirs, culture et cultes;2004;0,61269
HRV;Croatie;GF0702;07 - Sante;Sante;07.2 - Services ambulatoires;Services ambulatoires;2004;0,4902
HRV;Croatie;GF0803;08 - Loisirs, culture et culte;Loisirs, culture et culte;08.3 - Services de radiodiffusion, de television et d edition;Services de radiodiffusion, de television et d'edition;2004;0,11313
HRV;Croatie;GF0402;04 - Affaires economiques;Affaires economiques;04.2 - Agriculture, sylviculture, peche et chasse;Agriculture, sylviculture, peche et chasse;2004;0,37076
HRV;Croatie;GF0305;03 - Ordre et securite publics;Ordre et securite publics;03.5 - R-D concernant l ordre et la securite publics;RetD concernant l'ordre et la securite publics;2004;0,00115
