annee;cde_transaction;transaction;cde_pays;pays;cde_devise;devise;montant
2004;D61N;Cotisations sociales effectives des employeurs et des menages;AUT;Autriche;EUR;Euro;34461,52
2004;ODD;Charges fiscales correspondant au produit total des impots et cotisations sociales obligatoires apres deduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;101744,57
2004;D214;Impots sur les produits a l'exclusion de TVA et des impots sur les importations et les exportations;AUT;Autriche;EUR;Euro;9070,95
2004;D51B;Impots sur le revenu ou les benefices des societes non compris les gains de detention;AUT;Autriche;EUR;Euro;5607
2004;ODA;Total des recettes fiscales;AUT;Autriche;EUR;Euro;67510,2
2004;D214C;Impots sur les operations financieres et les operations en capital;AUT;Autriche;EUR;Euro;565,66
2004;D51;Impots sur le revenu;AUT;Autriche;EUR;Euro;30225,44
2004;D214A;Droits d'accise et impots de consommation;AUT;Autriche;EUR;Euro;6497,08
2004;D211;Taxes du type TVA;AUT;Autriche;EUR;Euro;18553,08
2004;D611;Cotisations sociales effectives a la charge des employeurs;AUT;Autriche;EUR;Euro;15859,71
2004;D214G;Taxes sur les primes d'assurance;AUT;Autriche;EUR;Euro;1008,05
2004;D613C;Cotisations sociales effectives obligatoires a la charge des menages;AUT;Autriche;EUR;Euro;18374,66
2004;D613;Cotisations sociales effectives a la charge des menages;AUT;Autriche;EUR;Euro;18601,81
2004;D214H;Autres taxes sur des services determines;AUT;Autriche;EUR;Euro;297,77
2004;D212;Impots et droits sur les importations, a l'exclusion de la TVA;AUT;Autriche;EUR;Euro;4,83
2004;D613CS;Cotisations sociales effectives obligatoires a la charge des travailleurs independants;AUT;Autriche;EUR;Euro;2345,31
2004;D61;Cotisations sociales nettes;AUT;Autriche;EUR;Euro;37103,47
2004;D59F;Autres impots courants n.c.a.;AUT;Autriche;EUR;Euro;1906,49
2004;D2122;Impots sur les importations a l'exclusion de la TVA et des droits sur les importations;AUT;Autriche;EUR;Euro;0,9
2004;D2121;Droits sur les importations;AUT;Autriche;EUR;Euro;3,94
2004;D214L;Autres impots sur les produits n.c.a.;AUT;Autriche;EUR;Euro;6,13
2004;D2;Impots sur la production et les importations;AUT;Autriche;EUR;Euro;35223,89
2004;D613CE;Cotisations sociales effectives obligatoires a la charge des salaries;AUT;Autriche;EUR;Euro;13838,84
2004;D51A;Impots sur le revenu des personnes physiques ou des menages non compris les gains de detention;AUT;Autriche;EUR;Euro;23960,52
2004;D29;Autres impots sur la production;AUT;Autriche;EUR;Euro;7595,03
2004;D51O;Impots sur le revenu des societes y compris les gains de detention;AUT;Autriche;EUR;Euro;5607
2004;D612;Cotisations sociales imputees a la charge des employeurs;AUT;Autriche;EUR;Euro;2641,95
2004;D613CN;Cotisations sociales effectives obligatoires a la charge des personnes n'occupant pas d'emploi;AUT;Autriche;EUR;Euro;2190,51
2004;D613V;Cotisations sociales effectives volontaires des menages;AUT;Autriche;EUR;Euro;227,15
2004;D51E;Autres impots sur le revenu n.c.a.;AUT;Autriche;EUR;Euro;657,92
2004;ODC;Produit total des impots et cotisations sociales nettes (y compris cotisations sociales imputees), apres deduction des montants dus non recouvrables;AUT;Autriche;EUR;Euro;104613,68
2004;D29H;Autres impots sur la production n.c.a.;AUT;Autriche;EUR;Euro;1252,14
2004;D51M;Impots sur le revenu des personnes physiques ou des menages y compris les gains de detention;AUT;Autriche;EUR;Euro;23960,52
2004;D5;Impots courants sur le revenu, le patrimoine, etc.;AUT;Autriche;EUR;Euro;32131,93
2004;D2122E;Impots sur des services determines;AUT;Autriche;EUR;Euro;0,9
2004;D91;Impots en capital;AUT;Autriche;EUR;Euro;154,38
2004;D29G;Sous-compensation de la TVA (regime forfaitaire);AUT;Autriche;EUR;Euro;32,34
2004;D214D;Taxes a l'immatriculation des vehicules;AUT;Autriche;EUR;Euro;147,63
2004;D29A;Impots sur les terrains, batiments et autres constructions;AUT;Autriche;EUR;Euro;589,12
2004;D21;Impots sur les produits;AUT;Autriche;EUR;Euro;27628,86
2005;D2122C;Droits d'accise;AUT;Autriche;EUR;Euro;0
2005;D51C;Impots sur les gains de detention;AUT;Autriche;EUR;Euro;0
2005;D6141;Supplements de cotisations de pension a la charge des menages;AUT;Autriche;EUR;Euro;0
2005;D995E;Cotisations sociales effectives a la charge des employeurs dues non recouvrables;AUT;Autriche;EUR;Euro;0
2005;D59B;Impots de capitation;AUT;Autriche;EUR;Euro;0
2005;D29E;Autorisations d'exercer des activites commerciales ou professionnelles;AUT;Autriche;EUR;Euro;0
2005;D214J;Benefices des monopoles fiscaux;AUT;Autriche;EUR;Euro;0
2005;D59D;Paiements effectues par les menages en vue de l obtention de licences;AUT;Autriche;EUR;Euro;0
2005;D995A;Impots sur les produits dus non recouvrables;AUT;Autriche;EUR;Euro;0
2005;D614;Supplements de cotisations sociales a la charge des menages;AUT;Autriche;EUR;Euro;0
2005;D91B;Prelevements sur le capital;AUT;Autriche;EUR;Euro;0
2005;D214I;Impots generaux sur les ventes ou le chiffre d'affaires;AUT;Autriche;EUR;Euro;0
2005;D29B;Impots sur l'utilisation d'actifs fixes;AUT;Autriche;EUR;Euro;0
2005;D2122A;Prelevements sur les produits agricoles importes;AUT;Autriche;EUR;Euro;0
2005;D995C;Impots sur le revenu dus non recouvrables;AUT;Autriche;EUR;Euro;0
2005;D2122B;Montants compensatoires monetaires preleves a l'importation;AUT;Autriche;EUR;Euro;0
2005;D214B;Droits de timbre;AUT;Autriche;EUR;Euro;0
2005;D29F;Impots sur les emissions polluantes;AUT;Autriche;EUR;Euro;0
2005;D214K;Droits sur les exportations et montants compensatoires monetaires preleves a l'exportation;AUT;Autriche;EUR;Euro;0
2005;D611V;Cotisations sociales effectives volontaires des employeurs;AUT;Autriche;EUR;Euro;0
2005;D6142;Supplements de cotisations autres que de pension a la charge des menages;AUT;Autriche;EUR;Euro;0
2005;D995B;Autres impots sur la production dus non recouvrables;AUT;Autriche;EUR;Euro;0
